,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,Greavard,4,T,,80,,Forretress,,,,90,,Sinistcha,2,T,,20,,Sawsbuck,,,,40,,Cryogonal,,,,60,,Grafaiai,,,,,10,,Pikachu,4,T,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30,,Electrode,,,,,,,,,,,10,,Jumpluff,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,0,,,0,,,0,,,20,,,0,,,0,,,0,,,0,,,0,,,20,,,0,,,,0,,,0,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Columbus Conkeldurrs,,,,CC,9,Carolina Cetitans,,,,CAC,10,Detroit Zoroarks,,,,DEZ,11,Boston Bulbasaurs,,,,BBU,12,St. Louis Solgaleos,,,,STL,13,Caborca Gengars,,,,CAG,,14,Richmond Raging Bolts,,,,RRB,16,Abbotsford Aggrons,,
,Cowtow,,,,,,TheyCallMeGage,,,,,,BumbleZ,,,,,,nigthamarish,,,,,,Apocalypse1,,,,,,holiss7795,,,,,,,poomasangi,,,,,,,,,
,180,,Gouging Fire,,,,160,,Sneasler,,,,160,,Garchomp,,,,160,,Gholdengo,,,,160,,Ursaluna-BM,,,,170,,Ogerpon-W,,,,,150,,Archaludon,,,,,,,
,150,,Iron Treads,,,,140,,Rillaboom,,,,180,,Spectrier,,,,10,,Bulbasaur,,,,150,,Zapdos,,,,150,,Excadrill,,,,,140,,Thundurus-Therian,,,,,,,
,160,,Tornadus-Therian,,,,150,,Heatran,,,,170,,Deoxys-Speed,,,,160,,Manaphy,,,,170,,Baxcalibur,,,,140,,Raging Bolt,,,,,170,,Iron Bundle,,,,,,,
,90,,Alomomola,,,,100,,Uxie,2,T,,120,,Mandibuzz,,,,160,,Ogerpon-H,,,,130,,Empoleon,,,,110,,Milotic,,,,,50,,Beartic,3,T,,,,,
,160,,Greninja,,,,140,,Hisuian Samurott,,,,130,,Scizor,,,,40,,Lycanroc-Midnight,4,T,,120,,Zarude,2,T,,140,,Corviknight,,,,,130,,Alolan Ninetales,,,,,,,
,100,,Cobalion,,,,80,,Galarian Weezing,,,,120,,Enamorus-Therian,,,,80,,Hisuian Braviary,,,,90,,Cyclizar,,,,90,,Meloetta,2,T,,,130,,Espathra,,,,,,,
,110,,Grimmsnarl,,,,140,,Salamence,,,,120,,Volcanion,1,T,,110,,Porygon-Z,2,T,,140,,Gengar,,,,40,,Alolan Exeggutor,4,T,,,80,,Brambleghast,,,,,,,
,70,,Mismagius,3,T,,90,,Dudunsparce,,,,50,,Paldean Tauros,4,T,,160,,Kyurem,,,,60,,Alcremie,3,T,,10,,Morgrem,,,,,80,,Registeel,2,T,,,,,
,70,,Jolteon,2,T,,60,,Electivire,3,T,,20,,Hisuian Avalugg,4,T,,130,,Krookodile,,,,40,,Crocalor,,,,100,,Overqwil,,,,,80,,Cetitan,,,,,,,
,10,,Paldean Wooper,4,T,,40,,Sandslash,,,,30,,Bastiodon,,,,80,,Chesnaught,,,,30,,Trapinch,,,,140,,Clefable,,,,,90,,Whimsicott,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,10,,Drakloak,4,T,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,0,,,0,,,0,,,0,,,0,,,10,,,0,,,0,,,0,,,10,,,0,,,,0,,,0,,,115,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwwwwa,,,,,,,,,,,,,,,,,
