,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,,,,,Coach #1,R.,S.,vs.,S.,R.,Coach #2,
,,,,Annihilape,1,0,,1,1,Azelf,,,,,Latios,0,1,,1,0,Clefable,,,,,Latios,2,0,,1,0,Corviknight,,,,,Primeape,0,1,,1,0,Revavroom,,,,,Sneasler,2,1,,1,0,Thundurus-Therian,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkrai,4,1,,1,1,Basculin,,,,,,,,,,,,,,,,,,,,,,,
,,,,Iron Moth,4,0,,1,0,Arboliva,,,,,Galarian Weezing,0,1,,1,1,Magmortar,,,,,Paldean Tauros Aqua,2,0,,1,0,Porygon-Z,,,,,Garchomp,0,1,,1,1,Mandibuzz,,,,,Hisuian Goodra,0,1,,1,1,Ursaluna,,,,,,,,,,,,,,,,,,,,,,,,,,,Glimmora,0,1,,1,1,Gholdengo,,,,,,,,,,,,,,,,,,,,,,,
,,,,Roaring Moon,0,0,,1,0,Fezandipiti,,,,,Iron Treads,4,1,,1,1,Amoonguss,,,,,Iron Treads,1,1,,1,0,Hisuian Samurott,,,,,Ogerpon-Hearthflame,1,1,,1,1,Diancie,,,,,Ursaluna-Bloodmoon,0,1,,1,0,Ogerpon-Wellspring,,,,,,,,,,,,,,,,,,,,,,,,,,,Scizor,2,0,,1,1,Galarian Zapdos,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fix,L,-6,vs.,6,W,Za,,,,,Ben,W,5,vs.,-5,L,Drew,,,,,Mug,W,4,vs.,-4,L,Void,,,,,Taye,L,-2,vs.,2,W,Mug,,,,,Void,L,-6,vs.,6,W,Taye,,,,,Void,L,-3,vs.,3,W,Nightmare,,,,,Za,W,2,vs.,-2,L,Natty,,,,,Nightmare,W,3,vs.,-4,L,Fix,,,,,,,,vs.,,,,,,,,,,,vs.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Galarian Articuno,0,1,,0,5,Baxcalibur,,,,,Comfey,0,1,,1,0,Whimsicott,,,,,Ogerpon-Wellspring,2,1,,1,1,Flygon,,,,,Azelf,0,1,,1,0,Ogerpon-Wellspring,,,,,Galvantula,0,1,,0,0,Dragapult,,,,,Blastoise,0,1,,0,1,Meowscarada,,,,,Iron Valiant,0,0,,1,3,Ogerpon-Cornerstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chien-Pao,0,1,,0,0,Primarina,,,,,Quaquaval,2,0,,1,0,Typhlosion,,,,,Alolan Sandslash,1,0,,1,0,Magmortar,,,,,Swampert,0,1,,1,0,Phione,,,,,Flygon,0,1,,0,5,Glastrier,,,,,Clefable,1,1,,1,0,Alomomola,,,,,Baxcalibur,4,0,,1,0,Enamorus-Therian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Okidogi,0,1,,0,1,Landorus-Therian,,,,,Donphan,1,0,,1,0,Golurk,,,,,Ursaluna,0,0,,1,0,Clefable,,,,,Dragapult,0,1,,1,0,Infernape,,,,,Blastoise,0,1,,0,0,Swampert,,,,,Iron Boulder,2,1,,1,0,Skeledirge,,,,,Primarina,0,1,,1,0,Mamoswine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shaymin,0,1,,0,0,Iron Valiant,,,,,Weavile,0,0,,1,0,Greninja,,,,,Hoopa-Unbound,0,0,,1,1,Spectrier,,,,,Paldean Tauros,1,1,,0,3,Mismagius,,,,,Spectrier,0,1,,0,0,Azelf,,,,,Galvantula,0,1,,0,1,Hydrapple,,,,,Naclstack,1,1,,1,1,Arboliva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ting-Lu,0,1,,0,0,Regieleki,,,,,Raging Bolt,0,0,,1,0,Metagross,,,,,Porygon,2,1,,1,0,Iron Boulder,,,,,Corviknight,1,1,,0,3,Thundurus-Therian,,,,,Honchkrow,0,1,,0,0,Coalossal,,,,,Spectrier,0,1,,1,1,Gliscor,,,,,Landorus-Therian,0,1,,1,0,Galarian Weezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Florges,0,1,,0,0,Galarian Slowking,,,,,Pechurant,3,0,,1,1,Mew,,,,,Alolan Ninetales,1,0,,1,0,Archaludon,,,,,Fezandipiti,2,1,,1,0,Alolan Ninetales,,,,,Clefable,0,1,,0,1,Fezandipiti,,,,,Flygon,0,1,,0,3,Alcremie,,,,,Heatran,1,1,,1,0,Iron Treads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Drew,L,-4,vs.,4,W,Krook,,,,,Taye,W,4,vs.,-4,L,FireAnt,,,,,FireAnt,W,4,vs.,-4,L,Nightmare,,,,,Void,W,5,vs.,-5,L,Fix,,,,,Orange,L,-5,vs.,5,W,FireAnt,,,,,Taye,W,4,vs.,-4,L,Fix,,,,,Nightmare,L,-2,vs.,2,W,Taye,,,,,Merry,W,3,vs.,-3,L,Ben,,,,,,,,vs.,,,,,,,,,,,vs.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mew,0,1,,0,2,Darkrai,,,,,Glastrier,2,0,,1,0,Tentacruel,,,,,Gouging Fire,6,0,,1,0,Alomomola,,,,,Archaludon,1,1,,1,1,Ting-Lu,,,,,Toxtricity,0,1,,0,3,Hisuian Electrode,,,,,Hisuian Samurott,0,0,,1,0,Okidogi,,,,,Meowscarada,0,1,,0,4,Fezandipiti,,,,,Annihilape,1,1,,1,1,Chi-Yu,,,,,,,,,,,,,,,,,,,,,,,
,,,,Electivire,0,1,,1,3,Garchomp,,,,,Jolteon,2,0,,1,1,Gouging Fire,,,,,Tentacruel,0,1,,1,1,Gliscor,,,,,Flygon,5,0,,1,0,Chien-Pao,,,,,Deoxys-Speed,1,1,,1,1,Quagsire,,,,,Azelf,0,0,,1,0,Florges,,,,,Electrode,1,1,,0,0,Dragapult,,,,,Roaring Moon,0,1,,1,0,Raging Bolt,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alolan Muk,1,1,,0,0,Scizor,,,,,Swampert,0,1,,1,0,Enamorus-Incarnate,,,,,Gholdengo,0,0,,1,0,Hariyama,,,,,Magmortar,0,0,,1,0,Cinderace,,,,,Tinkaton,0,1,,0,1,Galarian Zapdos,,,,,Corviknight,0,1,,1,0,Chien-Pao,,,,,Keldeo,3,1,,1,0,Glastrier,,,,,Iron Moth,1,1,,1,1,Jirachi,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hitmonchan,0,1,,0,0,Ogerpon-Hearthflame,,,,,Dragapult,0,0,,1,0,Hisuian Electrode,,,,,Enamorus-Incarnate,0,1,,1,0,Meowscarada,,,,,Hitmonlee,0,0,,1,0,Empoleon,,,,,Milotic,0,1,,0,0,Tentacruel,,,,,Meloetta,0,1,,1,1,Thundurus-Incarnate,,,,,Gliscor,0,1,,1,2,Hisuian Samurott,,,,,Blissey,2,0,,1,1,Weavile,,,,,,,,,,,,,,,,,,,,,,,
,,,,Kyurem,0,1,,1,0,Glimmora,,,,,Azelf,2,1,,1,1,Appletun,,,,,Hisuian Electrode,0,0,,1,1,Forretress,,,,,Blastoise,0,0,,1,0,Florges,,,,,Great Tusk,0,1,,0,1,Cresselia,,,,,Paldean Tauros,1,0,,1,0,Ting-Lu,,,,,Alomomola,0,1,,1,0,Rotom-Heat,,,,,Hisuian Zoroark,1,0,,1,0,Donphan,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dragonite,1,1,,0,1,Primeape,,,,,Corviknight,0,0,,1,0,Cresselia,,,,,Quagsire,0,0,,1,0,Keldeo,,,,,Iron Boulder,0,0,,1,0,Thundurus-Therian,,,,,Ogerpon,0,1,,0,0,Gouging Fire,,,,,Glastrier,5,0,,1,1,Tatsugiri,,,,,Forretress,0,1,,1,0,Corviknight,,,,,Avalugg,1,0,,1,0,Pechurant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Orange,W,5,vs.,-5,L,Doncolbus,,,,,Mug,L,-3,vs.,3,W,Fix,,,,,Drew,W,2,vs.,-2,L,Merry,,,,,FireAnt,W,5,vs.,-5,L,Drew,,,,,Za,L,-2,vs.,2,W,Merry,,,,,Natty,L,-5,vs.,5,W,Orange,,,,,Drew,L,-2,vs.,2,W,Void,,,,,Taye,W,2,vs.,-2,L,Drew,,,,,,,,vs.,,,,,,,,,,,vs.,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Great Tusk,0,0,,1,1,Ursaluna-Bloodmoon,,,,,Hoopa-Unbound,1,1,,1,2,Cinderace,,,,,Alolan Muk,2,1,,1,0,Iron Moth,,,,,Enamorus-Incarnate,0,0,,1,0,Metagross,,,,,Regieleki,0,1,,1,0,Blissey,,,,,Galarian Weezing,0,1,,1,2,Tornadus-Therian,,,,,Golurk,2,1,,1,0,Spectrier,,,,,Corviknight,0,1,,1,0,Electivire,,,,,,,,,,,,,,,,,,,,,,,
,,,,Deoxys-Speed,5,0,,1,0,Rillaboom,,,,,Kommo-o,0,1,,1,1,Empoleon,,,,,Typhlosion,0,1,,1,1,Blissey,,,,,Cresselia,0,0,,1,0,Electivire,,,,,Incineroar,1,1,,1,1,Roaring Moon,,,,,Latios,1,1,,0,0,Great Tusk,,,,,Kyurem,1,1,,1,1,Flygon,,,,,Hisuian Samurott,1,1,,1,1,Hitmonchan,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ogerpon,0,1,,1,0,Sneasler,,,,,Ursaluna,1,1,,1,1,Shaymin,,,,,Kyurem,2,0,,1,1,Skarmory,,,,,Gholdengo,0,0,,1,0,Greninja,,,,,Landorus-Therian,2,1,,1,1,Annihilape,,,,,Rotom-Mow,0,1,,0,1,Gengar,,,,,Greninja,0,1,,1,0,Hisuian Qwilfish,,,,,Azelf,0,1,,1,1,Alolan Muk,,,,,,,,,,,,,,,,,,,,,,,
